location_from,location_to,hour_of_day,traffic_volume,temperature,rainfall,visibility,accident_severity
Suburb,Suburb,18,81,-4.621201109260625,1.4413549799349847,11.672834869175372,0
Rural Route,Suburb,7,80,0.20343092192741352,0.3906826485676332,13.11978513232348,0
City Center,Suburb,6,43,13.19785377727697,1.6670555318476272,2.2270471465512003,0
Suburb,Suburb,15,62,15.766394437252433,1.1562229791381826,3.874005085807438,1
Suburb,Rural Route,18,23,23.62624691435484,0.27265472242613475,7.733777378618585,0
Rural Route,Suburb,5,25,13.105554624906583,1.24848386226405,9.088306342209917,0
City Center,City Center,19,52,19.880816100271762,0.3592088355442812,10.598707379813536,0
City Center,Suburb,20,82,17.94857327432208,2.623588407440991,10.374421349836275,1
Suburb,Rural Route,10,83,40.044650639397425,7.2724499999648815,10.526883138046799,0
Highway,Suburb,4,90,11.950243407498913,1.2681611376955704,5.310884157797459,2
Suburb,City Center,15,21,3.169554434383521,2.0013474879838493,7.6155788097486115,0
Suburb,Rural Route,6,79,31.190002325401046,1.127663662622761,9.032737939291149,0
Suburb,Rural Route,4,28,12.86043433388513,0.2980533186757302,9.547907289948158,0
Suburb,City Center,10,50,19.083367091497546,7.050481783611845,8.498675792634884,0
Rural Route,City Center,14,62,13.538245498736268,0.27755578081968757,10.763026380813798,0
City Center,City Center,2,38,27.37176098051193,0.2367267271836078,6.576316967311209,0
Rural Route,City Center,4,79,6.257254444452702,1.2293114432264203,8.552241977224675,0
Rural Route,City Center,22,68,-7.991918468959753,2.151084514820901,11.508928147654062,0
Rural Route,Rural Route,20,98,32.957162884732945,0.8767720190591216,10.613376668852215,0
Suburb,Rural Route,4,73,22.474708108231574,0.4276666084550361,8.879882082116355,0
Highway,Suburb,8,33,30.726444171572446,3.41811176321037,8.947973201083396,0
City Center,Suburb,14,98,32.62211972892907,0.9022956706494442,8.571758488681214,0
Highway,Highway,2,25,10.835337862076726,0.4321396915899649,8.994880571854289,1
Rural Route,Suburb,5,61,20.60664997896732,0.9085279087772126,8.488592066585806,0
Rural Route,Suburb,16,89,25.053884790955536,0.4830076680683309,8.906782900822199,0
Highway,City Center,20,15,18.917079278035274,1.4656385804539473,10.887102476885769,0
Highway,City Center,7,46,16.878487826642083,2.2069846703242164,10.824547715494823,0
Highway,Suburb,20,94,17.863488131385044,3.2144544875192604,6.061212266496801,1
Rural Route,Highway,10,13,30.83542871305383,0.5164071431659983,15.375290050037977,0
Rural Route,City Center,5,47,17.409878049124476,0.365332846197676,8.37052565843834,0
City Center,Suburb,7,50,26.002294676034765,0.03959623323895478,11.406639110100642,0
City Center,Suburb,9,90,23.468928036820934,0.5177688499789539,6.785026799092673,0
Rural Route,Rural Route,23,23,10.3581699482989,0.04839144474201452,14.388027256538148,0
Highway,Highway,2,80,23.01969489514126,0.8476885612824272,11.614576288893776,2
Highway,Rural Route,22,95,4.613289270674059,0.3149295379885679,11.147417338377306,1
City Center,Highway,13,60,24.01433236944378,1.7345040458927958,9.463333923614783,0
Rural Route,City Center,22,74,28.911171862575003,0.9681296830865614,4.47982232256478,2
City Center,Highway,13,61,31.21414029096922,0.19651679341156064,14.988465201798224,0
City Center,Suburb,9,39,10.473098593707475,1.0212061738469485,12.56107179493567,0
Suburb,Suburb,11,66,14.638459286031441,0.4697950082508714,9.035562650273985,0
Suburb,Highway,5,88,22.840652070645227,2.2799773195289923,11.435761980406006,1
Suburb,Highway,11,91,15.240751884645553,0.9064857408864748,6.06815594515613,0
Highway,Highway,22,39,0.7112301720399152,0.31806182580162495,4.280357913585955,2
Rural Route,Rural Route,13,51,14.583035262435537,0.8603407687006205,10.049340790544907,0
Rural Route,Highway,1,20,22.802016382406272,0.5081808428229388,7.607442912992372,1
Rural Route,City Center,8,36,30.675283146404823,3.1771050924185924,8.552178809364428,0
Rural Route,Rural Route,9,33,36.89208495226213,8.192800591383342,9.841910380979524,0
Suburb,Rural Route,16,48,21.24947834290077,0.05164384755557313,6.4381674821713695,0
Highway,Highway,16,81,25.664944863977915,2.3424958853888644,9.759429188949888,1
Highway,City Center,2,27,29.607839913137912,0.6129357412438127,6.687553227254154,1
Suburb,Rural Route,18,86,-0.5055949061675094,0.13743291339171096,13.037417024431665,0
Highway,Suburb,0,54,9.80783908490466,0.028910571244949695,9.698987188647497,2
Suburb,Rural Route,11,97,21.025622035725178,4.257426086115652,11.58267559164056,0
Rural Route,Highway,6,96,35.55944868219781,0.8726936614666589,4.682280488103093,1
Suburb,City Center,3,21,26.297607318736517,10.42203916104296,11.769272897602344,0
Rural Route,Highway,9,58,23.296996045890157,1.1681449455912465,14.491671073514127,0
Rural Route,Suburb,12,40,17.718879614551,0.415519363777037,10.352832364114827,0
City Center,Suburb,1,31,24.267941306235066,3.002455039774618,11.566423326327705,0
Suburb,Suburb,9,53,14.03559398467808,5.220727957211372,9.285746307766924,0
City Center,Highway,20,73,12.20170720468007,3.3815240482448794,11.12586286787467,1
Suburb,Rural Route,21,86,13.070630014080185,2.734546698234498,14.803547537871143,0
Suburb,Highway,3,34,33.40481511172945,0.8150335061437404,16.738773540714746,1
City Center,City Center,17,60,11.59747929204721,0.13332766566943421,10.951541686149554,0
City Center,Rural Route,4,16,16.0122291216888,0.4495381148676952,6.940956465516662,0
Suburb,Suburb,18,15,24.710112318255582,1.1841084312046146,11.869920864476338,0
Highway,Highway,1,33,11.198151474807785,6.256236987792938,6.287071662337998,2
Rural Route,Suburb,11,28,22.26163912324194,2.566422968288365,8.126744571953049,0
City Center,Suburb,16,92,22.258041934068164,3.523815538235577,8.46944050625198,0
Rural Route,City Center,9,18,13.755458912401114,0.6495052717565312,16.12352459811382,0
Highway,Rural Route,1,45,17.412197796627787,2.3029063649096595,14.286127472147989,1
Highway,City Center,5,49,10.564237100716705,3.9673631933863835,13.664879639646488,0
Highway,City Center,7,33,33.82766003542645,1.3055908103536498,12.4623160506106,0
City Center,City Center,18,57,22.575938606238545,1.1238584345089775,7.274771459575127,0
Highway,Suburb,10,72,9.513569211944024,2.541682392749279,10.708651314868705,1
City Center,City Center,11,78,21.263180830336694,1.641559718259767,15.513752843914151,0
Highway,City Center,8,62,21.715941620649115,9.973178423081977,11.342610312189317,1
Rural Route,Rural Route,1,63,-2.432398437392294,1.1071280760885764,13.090442385394127,1
Rural Route,Rural Route,7,51,33.40444044342945,0.38703182648814716,5.17051645972142,0
Suburb,City Center,10,54,10.103918877185409,1.2770719935079504,12.165627474716935,0
Rural Route,Rural Route,20,99,40.902146871371684,0.5362948917964561,6.83700074790892,0
Suburb,Rural Route,3,23,27.952907609706656,1.6476684252070293,9.337293973431107,1
Rural Route,City Center,9,38,8.73170260032754,0.2688853123991869,14.266094866085338,0
